ID,Company,Approval Memo,Type of Company ,Incubaton Track,Industry,Country of Origin,Funding Stage,Funding Since Joining QSTP,Sources of Funding,Status,Program Join Date,Graduation Date,Place of Incorporation,Registration Status,Date of Incorporation,Lease / Incubation Agreement,Agreement Signing Date,Agreement Start Date, Agreement Expiry Date,QSTP License Status,License Release Date,License Expiry Date,Location,Leased Space, Total Employees, Qatari Employees, Male Employees, Female Employees,"Researchers, Scientists, Engineers (RSE)", Qatari RSE, Male RSE, Female RSE,  Investment (2024) , Revenue (2024),"a
", Additional Information,Remarks,Founder / Licensee Manager,Email,Report Date,Approval Memo Status2,Registration Status CR,Registration (MOCI/QFC),CR Status,Lease / Incubation Agreement Status,Agreement Start Date2,Agreement Expiry Date, License,Remarks/ Registration,Registration Satus ,Step 1 (doc & Info recive ),Step 2,Step 3 (CR) ,Step 4
559,Userly, 25-Mar-26,Startup,Full Incubation,Marketplace Tech,Canada,Pending , ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"Userly is a Canadian-founded, female-led platform bringing structure to a fragmented $100B+ global market for creative and digital services. They combine agency discovery with an operating system for managing real work, connecting companies with vetted agencies while providing unified workflows for briefs, projects, files, payments, and delivery in one place. For businesses, Userly simplifies how digital partners are found and evaluated, reducing uncertainty and enabling companies to work with trusted teams. For agencies, we provide structured access to aligned opportunities without relying on informal referrals or extractive commission platforms.", , , ,isha@userly.digital,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
560,Pipeum, 25-Mar-26,Startup,Full Incubation,EnergyTech,Qatar,Pending , ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"Pipeum is a procurement software platform built specifically for energy and industrial projects, replacing the manual, fragmented processes typically handled through emails and spreadsheets. It digitizes the entire pre-ERP procurement workflow such as RFQs, supplier validation, bid comparisons, negotiations, and audit trails, into a secure, structured, and traceable system.", , , ,admin@pipeum.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
561,AtivoLabs, 25-Mar-26,Startup,Full Incubation,AI/ML/Data,Portugal,Pending , ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"AtivoLabs builds AI-native operating systems for regulated industries by automating complex enterprise workflows and eliminating manual processes. Their platform uses multi-agent AI orchestration, automated compliance engines, and adaptive decision-making systems that integrate seamlessly into existing enterprise environments. They currently focus on financial services and real estate, enabling companies to operate faster while staying fully compliant.", , , ,ahmad@ativolabs.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
562,RealX, 25-Mar-26,Startup,Full Incubation,AdTech,Qatar,Pending , ,NA,Active,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"RealX is a student rewards ecosystem offering cashback and discounts. It connects students, businesses and creators with an aim of driving engagement, loyalty and value within businesses and the student community. The startup has four ambitious student/recent graduate founders located in Qatar.", , , ,adilrahman20222@gmail.com,,Completed,Completed,MOCI,Completed,Completed,19-Apr-26,20-Apr-27,Completed,,,,,,
563,Neurora Labs, 25-Mar-26,Startup,Full Incubation,AI/ML/Data,Qatar,Pending , ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"Neurora Labs is an AI-powered biometric analytics startup that transforms eye-tracking, cognitive load, and stress-related data into automated, actionable insights for training and human-performance improvement. The founders combine deep expertise in cognitive science, UX, AI, robotics, and computer vision to build a hardware-agnostic, cloud-based platform usable across industries such as automotive, aviation, healthcare, and smart manufacturing.", , , ,paulina@neuroralabs.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
564,Superbutler, 25-Mar-26,Startup,Full Incubation,TravelTech,United Kingdom,Pending , ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"Superbutler is an AI-powered hospitality platform that automates guest services, in-room dining, concierge requests, and operational workflows for hotels. It enables guests to interact with hotels through QR, chat, and voice without downloading an app, while providing hotels with streamlined operations and new revenue opportunities. The company is already live in 50+ hotels globally and is expanding across the Middle East, Europe, and North America with a scalable B2B SaaS model.", , , ,finance@superbutler.ai,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents,,In Progress,,,,
565,Journiq (Journiq for Artificial Intelligence Systems), 25-Mar-26,Startup,Full Incubation,AI/ML/Data,,Pending ,,NA,Active,,,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,cto@scalovate.com,,Completed,Completed,MOCI,Completed,Completed,24/5/2026,23/5/2027,Completed,Completed,Completed,,,,
566,Zaytoonah, 25-Mar-26,Startup,Entry Track,HealthTech,Qatar,Idea, ,NA,Onboarding,04-Jun-26,04/09/2026,NA,NA,NA, , ,, , , , , , , , , , , , , , ,   , ,Zaytoonah is an AI-powered application that helps people with allergies and chronic diseases manage their conditions by understanding if supermarket products are safe to consume by scanning the barcode., , , ,mahmoud.offic@gmail.com,,Completed,NA (Entry Track),NA (Entry Track),NA (Entry Track),,,,NA (Entry Track), ,NA (Entry Track), , , ,
567,GYRO DATA SURVEY, 25-Mar-26,Startup,Entry Track,EnergyTech, ,Idea, ,NA,Onboarding,04-Jun-26,04/09/2026,NA,NA,NA, , ,, , , , , , , , , , , , , , ,   , ,"GDS focuses on the development and localization of advanced drilling measurement solution technologies for the oil and gas sector. They aim to design and develop cost-effective MWD and wellbore trajectory measurement solutions, including inclination and azimuth tools, adapted to local geological and operational conditions.", , , ,zobiri.yacine@gmail.com,,Completed,NA (Entry Track),NA (Entry Track),NA (Entry Track),,,,NA (Entry Track), ,NA (Entry Track), , , ,
568,PetzOman, 25-Mar-26,Startup,Entry Track,Marketplace Tech,Oman,Idea, ,NA,Onboarding,04-Jun-26,04/09/2026,NA,NA,NA, , ,, , , , , , , , , , , , , , ,   , ,"PetzOman is a pet marketplace platform that connects pet owners with the entire petcare ecosystem. Users can discover services, book appointments with clinics and groomers, explore adoption opportunities, and access various pet-related services.", , , ,info@petzoman.com,,Completed,NA (Entry Track),NA (Entry Track),NA (Entry Track),,,,NA (Entry Track), ,NA (Entry Track), , , ,
569,Lighthouse Academy, 25-Mar-26,Startup,Entry Track,EdTech,Qatar,Idea, ,NA,Onboarding,04-Jun-26,04/09/2026,NA,NA,NA, , ,, , , , , , , , , , , , , , ,   , ,"Lighthouse Academy provides a structured, trackable talent-development system that helps schools replace ad-hoc enrichment with a consistent cycle of identifying learner strengths, setting focused targets, delivering high-challenge learning, and reviewing progress every 6–8 weeks. Their core product, the Interactive Talent Development Wheel, converts cognitive insights, school evidence, and parent goals into actionable plans with targets, provision strategies, and review checkpoints, giving teachers a practical workflow to track progress at both the individual and cohort level.", , , ,sam@thelighthouseacademy.org,,Completed,NA (Entry Track),NA (Entry Track),NA (Entry Track),,,,NA (Entry Track), ,NA (Entry Track), , , ,
570,School Screen, 25-Mar-26,Startup,Entry Track,EdTech,Saudi Arabia,Idea, ,NA,Onboarding,04-Jun-26,04/09/2026,NA,NA,NA, , ,, , , , , , , , , , , , , , ,   , ,"School Screen is a Saudi EdTech company developing digital systems that enhance learning measurement, assessment, and educational decision-making. Its core product is an early-stage Arabic reading assessment tool that captures students’ reading audio, analyses accuracy and fluency, and progressively evolves toward AI-supported insights.", , , ,admin@schoolscreen.sa,,Completed,NA (Entry Track),NA (Entry Track),NA (Entry Track),,,,NA (Entry Track), ,NA (Entry Track), , , ,
571,SharePay, 25-Mar-26,Startup,Entry Track,FinTech,Australia,Idea, ,NA,Onboarding,04-Jun-26,04/09/2026,NA,NA,NA, , ,, , , , , , , , , , , , , , ,   , ,"SharePay is a fintech platform that digitizes traditional rotating savings groups (ROSCAs) into a structured, automated, and transparent collective-saving app. It enables users to form savings circles, contribute monthly, and receive lump-sum payouts without interest, providing a modern alternative to informal manual systems.", , , ,info@sharepay.au,,Completed,NA (Entry Track),NA (Entry Track),NA (Entry Track),,,,NA (Entry Track), ,NA (Entry Track), , , ,
572,LAB4, 25-Mar-26,Startup,Entry Track,EdTech,SAUDI ARABIA,Idea, ,NA,Onboarding,04-Jun-26,04/09/2026,NA,NA,NA, , ,, , , , , , , , , , , , , , ,   , ,"LAB4 is an AI-powered, gamified learning platform designed to transform educational and training content into engaging, interactive experiences across WhatsApp, mobile, and web environments. It leverages advanced AI for content generation, adaptive learning, analytics, and impact measurement, targeting government, private, and nonprofit education sectors.", , , ,BASSSEL2012@GMAIL.COM,,Completed,NA (Entry Track),NA (Entry Track),NA (Entry Track),,,,NA (Entry Track), ,NA (Entry Track), , , ,
573,KrosAI, 14-April-26,Startup,Full Incubation,AI/ML/Data,Nigeria,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"KrosAI is an AI-native telephony platform that lets organizations deploy AI voice agents over real local phone numbers and carrier networks. It connects LLMs and speech models directly to telecom infrastructure, enabling low-latency AI phone calls without relying on smartphones or high-bandwidth internet.", , , ,joshua@krosai.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, ,In Progress, , , ,
574,Nixpire Tech (TickPick), 14-April-26,Startup,Full Incubation,AI/ML/Data,Iran,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"TicPick is an AI-powered cooking and grocery assistant that automates meal planning from start to finish. It analyses your preferences, dietary needs and available ingredients to recommend meals, generate shopping lists, and handle grocery ordering. It then guides you through cooking with step-by-step instructions and smart timing.", , , ,alinabipourboy77@gmail.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, ,In Progress, , , ,
575,Lastmile Logic, 14-April-26,Startup,Full Incubation,LogisticsTech,Qatar,Pending, ,NA,Active,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"Lastmile Logic is a delivery OS designed for businesses that manage their own last-mile deliveries. It acts as the infrastructure layer that connects orders, fleets, routes, and dispatch into one unified tracking/ management system.", , , ,naz@lastmil.com,,Completed,Completed,QFC,Completed,Completed,05/11/2026,05/10/2027,Completed, ,Completed, , , ,
576,Zealthix Technologies Pvt Ltd, 14-April-26,Startup,Full Incubation,HealthTech,India,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"Zealthix is an InsurTech startup developing a full-stack outpatient healthcare platform that connect insurers, hospitals, diagnostics, clinics, and government health systems, enabling cashless OPD, real time health data exchange, and value-based care.", , , ,abhishek@zealthix.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, ,In Progress, , , ,
577,ToolA Technology, 14-April-26,Startup,Full Incubation,AI/ML/Data,Turkey,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"ToolA is an air-gapped generative AI platform built for critical infrastructure sectors like energy, defense, and telecom. It converts static technical manuals into interactive, voice-guided assistants that run entirely offline on existing tablets.", , , ,info@toola.net,,Completed,Pre CR,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, with future gate,In Progress, , , ,
578,CloudZigo, 14-April-26,Startup,Full Incubation,EnterpriseSaaS,india,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"""CloudZigo is a cloud infrastructure and managed hosting provider designed for startups and growing businesses frustrated with high cloud costs and poor support. The company focuses on delivering  performance-optimized servers and secure, workload-ready infrastructure without hyperscaler complexity or waste.""", , , ,Ceo@spotverge.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, ,In Progress, , , ,
579,Kawkab, 14-April-26,Startup,Full Incubation,BioTech,Chile,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,Kawkab is developing a biological desalination system that uses a microbial biofilm of Bacillus cereus to sustainably remove salt and organic matter from seawater., , , ,yahiaabufada@gmail.com,,Completed,Pre CR,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, with future gate,In Progress, , , ,
580,The Tuition Box AI, 16-April-26,Startup,Full Incubation,EdTech,United Kingdom,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"""The Tuition Box AI is a UK curriculum-aligned  AI-tutoring EdTech platform for KS2, KS3 and KS4, designed to deliver safe, structured and affordable 1:1 academic support for children and young people. The product operates through TIA, a voice-enabled AI tutor that delivers structured, curriculum-led lessons with guided examples, practice and feedback.""", , , ,Madhia_Qayyum@hotmail.com,,Completed,Pre CR,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, with future gate,In Progress, , , ,
581,LazySlides, 16-April-26,Startup,Full Incubation,MediaTech,Belgium,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"LazySlides is an AI-powered presentation platform with integrated image generation and Arabic language support, designed to help founders, business owners, corporates, and associations create high-quality, brandconsistent presentations in under 15 minutes.", , , ,contact@qadrin.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, ,In Progress, , , ,
582,Revend, 16-April-26,Startup,Full Incubation,EnterpriseSaaS,Turkey,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"Revend is a Revenue Execution Engine built for independent, boutique, and small-chain hotels that lack access to enterprise-grade revenue technology, replacing manual spreadsheets with automated, real-time pricing orchestration. Revend turns live market signals into transparent, rule-driven pricing updates within minutes.", , , ,kerem@koridorservices.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, ,In Progress, , , ,
583,Ardona, 16-April-26,Startup,Full Incubation,EnterpriseSaaS,Saudi Arabia,Pending, ,NA,Active,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"""Ardona is a B2B RegTech SaaS that automates sustainability (ESG) compliance.  They function as a """"Digital Sustainability Officer,"""" bridging the critical data gap between the region’s Financial Sector (Banks/Investors) and the Real Economy (SMEs/Supply Chains) through AI data structuring, automated reporting and the establishment of a reporting audit trail.""", , , ,a.althaqafi@ardona.com.qa,,Completed,Completed,QFC,Completed,Completed,05/04/2026,05/04/2027,Completed, ,Completed, ,, ,
584,Monivo, 16-April-26,Startup,Full Incubation,AdTech,Iran,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"Monivo is an AI-powered smart advertising platform designed for taxi and elevator screens. It transforms traditional out-of-home displays into interactive, measurable media by using edge-AI and computer vision to analyse anonymous viewer attention such as glances, gestures and engagement time.", , , ,a.farahabadi56@gmail.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, ,In Progress, , , ,
585,Sanad Labs, 16-April-26,Startup,Full Incubation,Robotics,Saudi Arabia,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"Sanad Labs developed an AI-powered walker designed to enhance the mobility of individuals with mobility issues, including the elderly, obese individuals, patients who have undergone hip and knee surgery, etc., with a core focus on safety and independence. Their mission is to enhance the quality of life by creating innovative, user-friendly mobility solutions that prevent falls and facilitate everyday activities.", , , ,mohamad@sanadlabs.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, ,In Progress, , , ,
586,Qudemo, 16-April-26,Startup,Full Incubation,AI/ML/Data,Qatar,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"Qudemo is an AI human companion for employee onboarding and training in fast moving enterprise companies. It guides new hires through videos, explains PDFs, PPTs, documents, tools, roles, company policies and answers questions instantly in any language. It works 24×7 and enables individual onboarding across locations without depending on HR or training teams.", , , ,jazeem@qudemo.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, ,In Progress, , , ,
587,Broker Copilot, 16-April-26,Startup,Full Incubation,PropTech,Qualified,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"BrokerCopilot AI is a WhatsApp-native AI assistant that automatically qualifies real estate leads in Arabic and English, books appointments directly into agents’ calendars, and operates as a fully managed service. It responds within minutes, asking a few targeted questions to assess intent, budget, and preferences before scheduling via Calendly with no double bookings.", , , ,faraz.outreach8@gmail.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, with future gate,In Progress, , , ,
588,GoPrep, 16-April-26,Startup,Full Incubation,EdTech,United Arab Emirates,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"GoPrep is building an AI-native EdTech platform to automate accreditation, compliance and academic quality assurance in universities. The platform replaces manual academic QA work with an always-on, AI-driven system that ensures universities stay compliant, high-quality, and workforce-aligned.", , , ,hania@golead.io,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, ,In Progress, , , ,
589,Evo Technologies, 16-April-26,Startup,Full Incubation,FinTech,Germany,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"Evo is a European fintech company that builds compliant, institutional-grade infrastructure for real-world asset tokenization, including fractional ownership platforms, smart contracts, and full regulatory investor onboarding. Its proposed Qatar rollout starts with a regulated fractional real estate investment platform developed in close coordination with local authorities.", , , ,ocan@evo8.io,,Completed,Pre CR,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, with future gate,In Progress, , , ,
590,BoardSpy, 16-April-26,Startup,Full Incubation,AI/ML/Data,Pakistan,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"""BoardSpy is a web-based smart commute  planning tool that lets users set their regular routes and automatically monitors real-time traffic and weather conditions. It sends proactive alerts before departure to help users avoid congestion and optimize daily travel. The product focuses on traffic and route management.""", , , ,syedumaidahmed96@gmail.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, ,In Progress, , , ,
591,ADIBA LLC, 16-April-26,Startup,Full Incubation,FinTech,Nigeria,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"ADIBA is a modular banking infrastructure platform that helps new and existing financial institutions launch and scale modern banking services quickly. It offers omni-channel APIs, back-office administration, open banking capabilities, and flexible integration with both built-in and legacy core systems, along with a pre-integrated merchant network to accelerate product rollout.", , , ,seyia@adiba.app,,Completed,Completed,QFC,Completed,In Progress,05/05/2026,05/04/2027,Completed, ,Completed, , , ,
592,Alkawkab Alnaqy, 16-April-26,Startup,Full Incubation,EnergyTech,Saudi Arabia,Pending, ,NA,Onboarding,, ,Pending, , , , ,, , , , , , , , , , , , , , ,   , ,"AlKawkab AlNaqy is a clean energy startup developing patented vertical-axis wind turbines optimized for harsh and low-wind environments such as the GCC. Its compact, scalable turbines are designed for industrial, off-grid, and weak-grid use cases, with multiple prototypes already validated. The company is moving toward commercial production in the 10–100 kW range, with plans to scale manufacturing and build a regional and global distributed wind energy platform.", , , ,olayyan11@gmail.com,,Completed,Pre CR,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, with future gate,In Progress, , , ,
593,Adlify Digital Systems,14-Apr-26,Startup,Entry Track,EdTech,Qatar,Pending, ,NA,Onboarding,04-Jun-26,04/09/2026,NA,NA,NA, , ,, , , , , , , , , , , , , , ,   , ,"Adlify is an EdTech startup developing an AI-enabled learning management system (LMS) that integrates responsible AI and governance level analytics to give students, teachers, and policymakers a unified, secure education platform.", , , ,mahanna.alnaimi@adlify.ai,,Completed,NA (Entry Track),NA (Entry Track),NA (Entry Track),,,,NA (Entry Track), ,NA (Entry Track), , , ,
594,SAFA Electronics & Technology (SAFA E&T), 16-April-26,Startup,Entry Track,Robotics,Egypt,Pending, ,NA,Onboarding,04-Jun-26,04/09/2026,NA,NA,NA, , ,, , , , , , , , , , , , , , ,   , ,"SAFA E&T has over 25 years of self-funded R&D, delivering commercially proven energy-saving and AI-powered solutions across healthcare, hospitality, smart homes, and industrial sectors. Its flagship innovation is a modular AI robot platform adaptable for disinfection, firefighting, leak detection, elder care, and industrial monitoring.", , , ,nshahbo@yahoo.com,,Completed,NA (Entry Track),NA (Entry Track),NA (Entry Track),,,,NA (Entry Track), ,NA (Entry Track), , , ,
595,SkillFits, 26-April-26,Startup,Full Incubation,EdTech,Qatar,Pending, ,NA,Onboarding,04-Jun-26,04/06/2027,Pending, , , ,,4-Jun-26,4-Jun-27, , , , , , , , , , , , , ,   , ,"SkillFits is an Arabic AI-enabled recruitment platform built to make hiring smart, fast and fair. Skillfits matches the right talent to the right roles using intelligent CV analysis, precise fit scoring and candidate evaluation based on role requirements through a proprietary multi-layer analysis and ranking algorithm.", , , ,suraihi20@gmail.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, , , , , ,
596,Maddie BioGenetics, 26-April-26,Startup,Full Incubation,BioTech,United States,Pending, ,NA,Onboarding,04-Jun-26,04/06/2027,Pending, , , ,,4-Jun-26,4-Jun-27, , , , , , , , , , , , , ,   , ,"Maddie BioGenetics is a precision medicine startup that uses multi-omic testing, Physical Reality AI, and patient-derived organoids to deliver clinically accurate diagnostics for diverse populations, supported by localized biotech infrastructure and home-based care solutions.", , , ,gavenraj@maddiebio.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, , , , , ,
597,WE, 26-April-26,Startup,Full Incubation,EdTech,Jordan,Pending, ,NA,Onboarding,04-Jun-26,04/06/2027,Pending, , , ,,4-Jun-26,4-Jun-27, , , , , , , , , , , , , ,   , ,"WE is an AI-enabled EdTech SaaS platform that aims to replace outdated and fragmented educational tracking and communication tools with an all-in-one system for schools, therapy centres and families supporting children with special needs in the region. It provides Individualized education plans, child profiles, a professional Arabic content library, secure multi-stakeholder communication, and analytics to track outcomes and support school reporting.", , , ,kamalalhersh@gmail.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, , , , , ,
598,Riayah Plus, 26-April-26,Startup,Full Incubation,HealthTech,Australia,Pending, ,NA,Onboarding,04-Jun-26,04/06/2027,Pending, , , ,,4-Jun-26,4-Jun-27, , , , , , , , , , , , , ,   , ,"Riayah Plus is an AI-enabled care infrastructure platform designed to support disability, aged, and home-based care in Qatar through a centralized digital platform. It includes a care marketplace for equipment procurement, vendor management, and service booking, as well as a learning hub for training and certification, with AI-enabled features for booking, billing, payments, and multilingual customer support.", , , ,ESSRA.HEGAZY1@GMAIL.COM,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, , , , , ,
599,Hayah+, 26-April-26,Startup,Full Incubation,HealthTech,France,Pending, ,NA,Onboarding,04-Jun-26,04/06/2027,Pending, , , ,,4-Jun-26,4-Jun-27, , , , , , , , , , , , , ,   , ,"Hayah+ is an AI-enabled women’s health and longevity platform built to replace generic wellness advice with personalized care for women dealing with metabolic, hormonal, and energy-related issues. It combines biological data, cycle signals, wearable insights, and real-life context to generate actionable protocols that evolve over time.", , , ,myriam.giri@hotmail.fr,,Completed,Pre CR,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, with future gate, , , , ,
600,SpaceEcho, 26-April-26,Startup,Full Incubation,HardwareTech,Qatar,Pending, ,NA,Onboarding,04-Jun-26,04/06/2027,Pending, , , ,,4-Jun-26,4-Jun-27, , , , , , , , , , , , , ,   , ,"SpaceEcho is a hardware-tech start-up that develops IoT enabled  data loggers and data visualization and analysis platforms for environmental monitoring. The startup's solution include sensor integration, firmware development, secure data transmission, cloud data management and real-time alerts with analytical dashboards to ultimately help governments, research institutions and organizations monitor key  environmental and infrastructure factors.", , , ,a.elsaid@s-echo.com,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, , , , , ,
601,FIKAR, 26-April-26,Startup,Full Incubation,AI/ML/Data,Pakistan,Pending, ,NA,Onboarding,04-Jun-26,04/06/2027,Pending, , , ,,4-Jun-26,4-Jun-27, , , , , , , , , , , , , ,   , ,"FIKAR is an enterprise AI platform that acts as an organizational memory and actionable intelligence layer for modern teams. It extracts decisions, risks, actions and operational signals from conversations and connects them to ownership, follow-ups, and workflows to improve accountability and execution.", , , ,FAYAZALAM@GMAIL.COM,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, , , , , ,
602,CyberX - The Ethical Hacking Services, 26-April-26,Startup,Full Incubation,Cybersecurity,Portugal,Pending, ,NA,Onboarding,04-Jun-26,04/06/2027,Pending, , , ,,4-Jun-26,4-Jun-27, , , , , , , , , , , , , ,   , ,"CyberX is a cybersecurity company founded by ethical hackers who has developed 
solution called the O (The Omniscient). It’s an AI-powered investigative risk intelligence platform designed to transform large volumes of publicly available data into actionable risk intelligence, helping organizations detect emerging security and reputational risks in real time by analysing online signals, behavioural patterns, and contextual information.", , , ,david@cyberx.pt,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, , , , , ,
603,Databuddy, 26-April-26,Startup,Full Incubation,AI/ML/Data,Palestine,Pending, ,NA,Active,04-Jun-26,04/06/2027,Pending, , , ,,4-Jun-26,4-Jun-27, , , , , , , , , , , , , ,   , ,"Databuddy is an AI-native analytics platform that acts as a business intelligence layer with the goal of operating autonomously in the cloud. It enables companies to connect their websites and data sources to receive automated insights and anomaly detection, while also connecting with other agents to address issues proactively.", , , ,issa@databuddy.cc,,Completed,Completed,QFC,Completed,Completed,06/04/2026,06/03/2027,Completed, , , , , ,
604,Tortin, 26-April-26,Startup,Full Incubation,EdTech,"London, United Kingdom",Pending, ,NA,Active,04-Jun-26,04/06/2027,Pending, , , ,,4-Jun-26,4-Jun-27, , , , , , , , , , , , , ,   , ,"Tortin is an AI-powered EdTech infrastructure designed for higher education, offering a secure environment for integrating AI into teaching and learning. The platform is modelagnostic, enabling faculty to select the large language models that best align with their pedagogical goals. It features AI tutors trained exclusively on approved course materials. Tortin also provides analytics on student performance and learning bottlenecks, along with automated assistance to handle repetitive student queries.", , , ,shez@gettortin.com,,Completed,Completed,QFC,Completed,Completed,04-Jun-26,03-Jun-27,Completed, , , , , ,
605,Traffi Click, 26-April-26,Startup,Full Incubation,MediaTech,Qatar,Pending, ,NA,Onboarding,04-Jun-26,04/06/2027,Pending, , , ,,4-Jun-26,4-Jun-27, , , , , , , , , , , , , ,   , ,"TraffiClick is a data automation company offering NewsLynne, an enterprise-grade AI middleware that connects real-time data streams with digital audiences. Its core capability, the “45-Second Bridge”, enables a governance-first pipeline that rapidly transforms live news feeds into concise summaries and trackable links. This process automates instant distribution across messaging platforms such as WhatsApp and Telegram, ensuring speed, compliance, and audience engagement.", , , ,daniel@traffi.click,,Completed,In Progress,In Progress,In Progress,Awaiting Legal Documents,,,Awaiting Legal Documents, , , , , ,
606,Wakti AI, 26-April-26,Startup,Full Incubation,AI/ML/Data,Qatar,Pending, ,NA,Active,04-Jun-26,04/06/2027,Pending, , , ,,4-Jun-26,4-Jun-27, , , , , , , , , , , , , ,   , ,"Wakti AI is developing an AI-powered, all-in-one personal productivity and life management platform built specifically for users in Qatar and the GCC. It offers task management, reminders, calendar, journaling, events, file organization, meeting recording, voice translation, coding, content creation, music/video generation, image generation, study tools, bilingual chat, health insights and more inside a single mobile-first platform.", , , ,alfadly@tmw.qa,,Completed,Completed,QFC,Completed,Completed,04-Jun-26,03-Jun-27,Completed, , , , , ,
